Sz,Time
1,14
2,17
3,22
4,30
5,35
6,45
7,54
8,81
9,107
10,121
20,310
30,825
40,1180
50,1677
60,2519
70,4621
80,4776
90,7710
100,8423
200,28084
300,60952
400,109380
500,176161
600,261737
700,365902
800,494525
900,636435
1000,802766
