Sz,Time
1,35
2,29
3,35
4,44
5,56
6,76
7,87
8,193
9,552
10,150
20,519
30,1256
40,1994
50,3114
60,4388
70,6853
80,8952
90,11254
100,13844
200,52945
300,125127
400,229098
500,381589
600,648860
700,959322
800,1266201
900,1668206
1000,2116789
