Sz,Time
1,20
2,7
3,7
4,23
5,26
6,25
7,20
8,29
9,31
10,32
20,46
30,87
40,137
50,208
60,262
70,343
80,443
90,2867
100,2744
200,2667
300,6479
400,38717
500,58181
600,79411
700,106863
800,140944
900,182255
1000,231095
