Sz,Time
1,2257
2,2325
3,2218
4,2198
5,2240
6,2243
7,2201
8,2339
9,2270
10,2177
20,2610
30,2895
40,3276
50,3406
60,3280
70,3381
80,4457
90,3855
100,4767
200,17222
300,41880
400,68268
500,125350
600,232327
700,317065
800,379780
900,452936
1000,551451
