Sz,Time
1,2594
2,2258
3,2064
4,2091
5,2515
6,2081
7,2234
8,2284
9,2162
10,2281
20,3037
30,3359
40,4051
50,4623
60,5235
70,5649
80,6405
90,7644
100,10227
200,35759
300,76227
400,127822
500,192521
600,345189
700,504451
800,655253
900,766503
1000,929258
