Sz,Time
1,33
2,36
3,40
4,43
5,50
6,55
7,59
8,146
9,309
10,79
20,240
30,458
40,816
50,1250
60,1835
70,3484
80,3967
90,4015
100,6464
200,21857
300,59585
400,112720
500,181003
600,363988
700,603792
800,807976
900,1061345
1000,1348291
