Sz,Time
1,2150
2,2668
3,2162
4,2591
5,2594
6,2398
7,2597
8,2427
9,2644
10,2486
20,2707
30,2790
40,3085
50,3435
60,4066
70,3876
80,4201
90,6990
100,8063
200,28569
300,63072
400,99624
500,159186
600,224094
700,301282
800,414242
900,501109
1000,598894
