Sz,Time
1,26
2,22
3,27
4,41
5,79
6,91
7,120
8,170
9,225
10,302
20,2211
30,7302
40,18130
50,34209
60,58916
70,92579
80,137845
90,199092
100,268651
200,2167682
300,7291598
400,17505183
500,34297229
600,104208665
700,239573346
800,369661066
900,601417358
1000,810864547
