Sz,Time
1,11
2,12
3,17
4,22
5,26
6,41
7,44
8,67
9,70
10,79
20,1027
30,824
40,966
50,1569
60,2430
70,3123
80,4164
90,5318
100,6538
200,22463
300,50217
400,87257
500,133885
600,191223
700,256931
800,346104
900,438009
1000,536973
