Sz,Time
1,2281
2,2103
3,2228
4,2326
5,2417
6,2469
7,2672
8,2771
9,2942
10,3405
20,5007
30,14987
40,33843
50,64976
60,111561
70,174322
80,259361
90,374113
100,513621
200,3973236
300,13765699
400,33449748
500,68245598
600,122271162
700,209561811
800,284364936
900,461098499
1000,492023435
