Sz,Time
1,2118
2,2289
3,2161
4,2481
5,2508
6,2562
7,2379
8,2580
9,2491
10,2642
20,3119
30,2996
40,3351
50,3450
60,3066
70,3205
80,3500
90,4386
100,4939
200,17081
300,38737
400,133798
500,245174
600,398347
700,591422
800,697963
900,846859
1000,940607
