Sz,Time
1,69
2,100
3,192
4,392
5,583
6,835
7,955
8,1407
9,2021
10,2560
20,14062
30,40103
40,98827
50,177033
60,294064
70,436621
80,642233
90,918758
100,1215061
200,10019756
300,36541871
400,106787959
500,239804609
600,538491768
700,1085627179
800,1846490355
900,2776075740
1000,4028130231
