Sz,Time
1,27
2,44
3,37
4,37
5,38
6,39
7,42
8,35
9,63
10,52
20,65
30,100
40,114
50,179
60,248
70,398
80,501
90,624
100,744
200,3202
300,3974
400,38803
500,66828
600,84540
700,110913
800,146103
900,186913
1000,232256
