Sz,Time
1,55
2,98
3,193
4,335
5,574
6,797
7,1090
8,1483
9,2032
10,2291
20,14423
30,39724
40,90171
50,172653
60,284986
70,433727
80,631696
90,892803
100,1217242
200,10012390
300,35408971
400,106859349
500,240453560
600,538589711
700,1085852048
800,1778262210
900,2689678947
1000,3820576056
