Sz,Time
1,1860
2,2128
3,1481
4,1620
5,2296
6,2133
7,2529
8,2520
9,2581
10,3182
20,3158
30,8683
40,21737
50,38019
60,64939
70,101642
80,150784
90,214618
100,299497
200,2320490
300,7933301
400,19201827
500,40293884
600,94559200
700,187199674
800,247388942
900,368718034
1000,433236146
