Sz,Time
1,4730
2,4429
3,4538
4,4615
5,4548
6,4681
7,4684
8,4846
9,4725
10,4531
20,5253
30,5971
40,6384
50,6932
60,6818
70,6775
80,8240
90,8882
100,10822
200,39199
300,91476
400,164345
500,262034
600,439219
700,594321
800,715982
900,875421
1000,1023738
