Sz,Time
1,6
2,8
3,9
4,24
5,26
6,27
7,13
8,31
9,33
10,42
20,83
30,150
40,288
50,422
60,578
70,777
80,1058
90,1321
100,1707
200,6680
300,21403
400,72385
500,104632
600,255449
700,415728
800,572892
900,728896
1000,962675
