Sz,Time
1,11
2,15
3,14
4,15
5,14
6,16
7,14
8,23
9,18
10,20
20,47
30,39
40,54
50,68
60,97
70,154
80,188
90,231
100,284
200,1132
300,3530
400,37230
500,58007
600,88107
700,113216
800,143799
900,182681
1000,226268
