Sz,Time
1,28604
2,38
3,46
4,60
5,70
6,97
7,116
8,162
9,184
10,209
20,2699
30,2032
40,2606
50,1605
60,2526
70,3202
80,4059
90,5479
100,6870
200,23169
300,51136
400,90139
500,138612
600,198230
700,264023
800,353287
900,460765
1000,574712
