Sz,Time
1,13
2,14
3,15
4,56
5,57
6,66
7,23
8,205
9,70
10,75
20,125
30,205
40,340
50,526
60,1377
70,1445
80,3012
90,4014
100,4880
200,18614
300,58318
400,91422
500,151771
600,231649
700,338442
800,501559
900,583961
1000,707128
