Sz,Time
1,16
2,20
3,49
4,49
5,64
6,43
7,52
8,63
9,79
10,93
20,302
30,661
40,1164
50,1815
60,2617
70,4089
80,5035
90,5962
100,8127
200,33554
300,72635
400,139103
500,252495
600,449353
700,684422
800,890817
900,1149522
1000,1455703
