Sz,Time
1,21
2,26
3,28
4,31
5,37
6,41
7,43
8,49
9,57
10,63
20,173
30,348
40,631
50,1029
60,2290
70,1968
80,3116
90,3247
100,4490
200,17556
300,42818
400,99843
500,189636
600,341259
700,561808
800,710450
900,1014364
1000,1231599
