Sz,Time
1,2284
2,1575
3,2207
4,2663
5,2499
6,2667
7,2701
8,2874
9,2906
10,3133
20,4734
30,12504
40,28781
50,54693
60,93703
70,147629
80,219388
90,312589
100,429456
200,3331541
300,11380945
400,28365757
500,56059950
600,105527598
700,200382351
800,259808107
900,395721656
1000,451386880
