Sz,Time
1,39
2,29
3,35
4,48
5,70
6,95
7,131
8,182
9,248
10,325
20,2422
30,7672
40,19220
50,36311
60,61254
70,97371
80,143819
90,205681
100,277143
200,2291852
300,7990394
400,20199332
500,40035119
600,110922800
700,253740668
800,419456444
900,617188642
1000,844705276
