Sz,Time
1,30
2,23
3,26
4,29
5,32
6,35
7,40
8,58
9,84
10,85
20,137
30,731
40,975
50,689
60,2503
70,1358
80,1797
90,2380
100,2849
200,12633
300,28014
400,52135
500,87122
600,134412
700,194173
800,253427
900,323934
1000,397639
