Sz,Time
1,14
2,15
3,17
4,48
5,53
6,55
7,26
8,63
9,67
10,71
20,263
30,281
40,492
50,754
60,1098
70,1466
80,1896
90,2405
100,3120
200,12362
300,28916
400,115613
500,215476
600,394851
700,673079
800,869151
900,1149816
1000,1366164
