Sz,Time
1,11
2,17
3,17
4,19
5,20
6,20
7,23
8,24
9,26
10,27
20,68
30,186
40,272
50,366
60,561
70,656
80,780
90,1043
100,1450
200,4844
300,17781
400,76104
500,106818
600,274554
700,444319
800,592180
900,787814
1000,1003072
