Sz,Time
1,11
2,37
3,36
4,38
5,38
6,39
7,38
8,41
9,42
10,44
20,61
30,88
40,1583
50,1993
60,2423
70,2819
80,3603
90,4824
100,6234
200,9252
300,19306
400,87688
500,142279
600,208499
700,296655
800,434374
900,554962
1000,688569
