Sz,Time
1,9
2,11
3,23
4,24
5,30
6,40
7,39
8,49
9,60
10,72
20,252
30,550
40,996
50,1543
60,2189
70,2909
80,4010
90,5155
100,7247
200,31887
300,62739
400,109725
500,177830
600,352608
700,574181
800,755313
900,991657
1000,1270098
