Sz,Time
1,20
2,7
3,7
4,23
5,23
6,25
7,26
8,31
9,32
10,32
20,45
30,78
40,127
50,179
60,257
70,339
80,437
90,2866
100,2754
200,2681
300,5794
400,36145
500,55574
600,79769
700,106783
800,142603
900,178888
1000,222373
