Sz,Time
1,10
2,35
3,34
4,59
5,64
6,64
7,39
8,40
9,41
10,45
20,189
30,135
40,279
50,393
60,562
70,703
80,949
90,1165
100,1417
200,9664
300,25177
400,112810
500,190486
600,358065
700,602479
800,834278
900,1050614
1000,1345365
