Sz,Time
1,2151
2,2250
3,2148
4,2128
5,2295
6,2239
7,2325
8,2343
9,2497
10,2733
20,2499
30,3323
40,4164
50,5111
60,5222
70,6984
80,7601
90,10755
100,10967
200,34076
300,74481
400,132716
500,215515
600,310860
700,440771
800,567450
900,706884
1000,857387
