Sz,Time
1,2679
2,2025
3,2473
4,2567
5,2531
6,2434
7,2527
8,2591
9,2653
10,2938
20,2673
30,2945
40,3253
50,4053
60,3674
70,3651
80,4725
90,5925
100,6063
200,23024
300,50527
400,92896
500,151556
600,206164
700,280200
800,338835
900,415412
1000,486018
