Sz,Time
1,16
2,53
3,50
4,53
5,55
6,56
7,59
8,62
9,75
10,318
20,181
30,399
40,860
50,1213
60,1701
70,1835
80,2116
90,2225
100,3642
200,16643
300,75095
400,174089
500,263604
600,498028
700,751108
800,1008435
900,1303627
1000,1675947
