Sz,Time
1,29
2,17
3,23
4,65
5,82
6,112
7,115
8,202
9,263
10,331
20,2326
30,7554
40,18448
50,35222
60,61006
70,95875
80,142672
90,204867
100,276311
200,2266554
300,7977304
400,20458164
500,40126854
600,108044876
700,238286149
800,386997006
900,631123298
1000,815432987
