Sz,Time
1,18
2,21
3,22
4,70
5,74
6,85
7,35
8,99
9,103
10,116
20,396
30,361
40,624
50,956
60,1410
70,1887
80,2716
90,3354
100,3900
200,15222
300,76038
400,163913
500,259305
600,503755
700,788904
800,1025077
900,1285559
1000,1669423
