Sz,Time
1,23
2,13
3,16
4,20
5,21
6,31
7,32
8,41
9,50
10,45
20,370
30,340
40,395
50,496
60,765
70,1152
80,1266
90,1503
100,1884
200,5904
300,14383
400,26346
500,42173
600,59583
700,92999
800,129686
900,158638
1000,195588
