Sz,Time
1,23
2,46
3,40
4,44
5,51
6,59
7,78
8,86
9,106
10,134
20,932
30,2837
40,7462
50,14060
60,23291
70,37502
80,53331
90,77968
100,100851
200,835817
300,2983946
400,8468755
500,16444189
600,107763363
700,242914270
800,358327369
900,538856257
1000,746623958
