Sz,Time
1,1717
2,2059
3,2120
4,2127
5,2092
6,2380
7,2264
8,2294
9,2305
10,2812
20,2622
30,3391
40,3906
50,4681
60,5400
70,5610
80,6644
90,8250
100,10098
200,38111
300,89981
400,172547
500,329705
600,467426
700,657853
800,797481
900,989529
1000,1131930
