Sz,Time
1,32
2,13
3,17
4,20
5,20
6,27
7,30
8,40
9,41
10,45
20,384
30,463
40,310
50,480
60,783
70,897
80,1130
90,1569
100,1850
200,5869
300,14007
400,26518
500,36832
600,55411
700,83663
800,119113
900,140852
1000,175084
