Sz,Time
1,1384
2,2367
3,2217
4,2500
5,2333
6,2361
7,2511
8,2325
9,2548
10,2419
20,2830
30,2874
40,2973
50,3182
60,3370
70,3151
80,2730
90,2994
100,3062
200,8658
300,23977
400,73344
500,109397
600,233398
700,334097
800,419004
900,485622
1000,580420
